;20;;;;;;29;;;;29;37;;;;;
20;;25;;;;;28;;;;39;;;;;;
;25;;25;;;;30;;;;;54;;;;;
;;25;;39;32;42;;23;33;;;;56;;;;
;;;39;;12;26;;;19;;;;;;;;
;;;32;12;;17;;;35;30;;;;;;;
;;;42;26;17;;;;;38;;;;;;;
29;28;30;;;;;;;;;25;22;;;;;
;;;23;;;;;;26;;;34;37;;43;;
;;;33;19;35;;;26;;24;;;30;19;;;
;;;;;30;38;;;24;;;;;26;;;39
29;39;;;;;;25;;;;;27;;;43;;
37;;54;;;;;22;34;;;27;;24;;19;;
;;;56;;;;;37;30;;;24;;20;19;17;
;;;;;;;;;19;26;;;20;;;18;21
;;;;;;;;43;;;43;19;19;;;26;
;;;;;;;;;;;;;17;18;26;;15
;;;;;;;;;;36;;;;21;;15;
